,acousticness,album_uri,analysis_url,artist,available_markets,danceability,disc_number,duration_ms_x,duration_ms_y,energy,explicit,href,id,instrumentalness,is_local,key,liveness,loudness,mode,name,popularity,preview_url,release_date,speechiness,tempo,time_signature,track_number,uri,valence
10,0.0604,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/3A6wCRe6QoH7Ea5JMpnRB8,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.624,1,211506,211507,0.691,False,https://api.spotify.com/v1/tracks/3A6wCRe6QoH7Ea5JMpnRB8,3A6wCRe6QoH7Ea5JMpnRB8,1.1e-05,False,0,0.138,-6.686,0,Dancing With Our Hands Tied,67,,2017-11-10,0.196,160.024,4,11,spotify:track:3A6wCRe6QoH7Ea5JMpnRB8,0.284
11,0.0329,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/6X3YCswCQzX1gGZ5ji8P9x,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.719,1,230373,230373,0.469,False,https://api.spotify.com/v1/tracks/6X3YCswCQzX1gGZ5ji8P9x,6X3YCswCQzX1gGZ5ji8P9x,0.0,False,0,0.169,-8.792,1,Dress,67,,2017-11-10,0.0533,120.085,4,12,spotify:track:6X3YCswCQzX1gGZ5ji8P9x,0.0851
12,0.0156,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/0fF2vHE8TaB4XHExalmBP8,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.567,1,207133,207133,0.789,False,https://api.spotify.com/v1/tracks/0fF2vHE8TaB4XHExalmBP8,0fF2vHE8TaB4XHExalmBP8,0.0,False,5,0.382,-5.986,1,This Is Why We Can?t Have Nice Things,67,,2017-11-10,0.115,163.96,4,13,spotify:track:0fF2vHE8TaB4XHExalmBP8,0.438
13,0.186,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/2QD7DklEvkqncYacmhMukq,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.598,1,203506,203507,0.504,False,https://api.spotify.com/v1/tracks/2QD7DklEvkqncYacmhMukq,2QD7DklEvkqncYacmhMukq,0.000221,False,9,0.34,-9.874,1,Call It What You Want,73,,2017-11-10,0.0731,163.954,4,14,spotify:track:2QD7DklEvkqncYacmhMukq,0.252
14,0.921,spotify:album:4fW1sFeE43nuZlAw2xtmC3,https://api.spotify.com/v1/audio-analysis/79bxjfUDHCwCe7JR4glr8r,Taylor Swift,"['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JP', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'UY', 'VN', 'ZA']",0.661,1,235466,235467,0.151,False,https://api.spotify.com/v1/tracks/79bxjfUDHCwCe7JR4glr8r,79bxjfUDHCwCe7JR4glr8r,0.0,False,0,0.13,-12.864,1,New Year?s Day,66,,2017-11-10,0.0354,94.922,4,15,spotify:track:79bxjfUDHCwCe7JR4glr8r,0.23
15,0.0609,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/2yLa0QULdQr0qAIvVwN6B5,Taylor Swift,"['CA', 'MX', 'US']",0.616,1,208186,208187,0.776,False,https://api.spotify.com/v1/tracks/2yLa0QULdQr0qAIvVwN6B5,2yLa0QULdQr0qAIvVwN6B5,0.0,False,2,0.155,-6.519,1,...Ready For It?,78,,2017-11-10,0.127,160.053,4,1,spotify:track:2yLa0QULdQr0qAIvVwN6B5,0.459
16,0.00806,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/2x0WlnmfG39ZuDmstl9xfX,Taylor Swift,"['CA', 'MX', 'US']",0.453,1,244826,244827,0.6,False,https://api.spotify.com/v1/tracks/2x0WlnmfG39ZuDmstl9xfX,2x0WlnmfG39ZuDmstl9xfX,0.0,False,2,0.111,-6.217,1,End Game,81,,2017-11-10,0.15,159.088,4,2,spotify:track:2x0WlnmfG39ZuDmstl9xfX,0.154
17,0.0653,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/4svZDCRz4cJoneBpjpx8DJ,Taylor Swift,"['CA', 'MX', 'US']",0.694,1,238253,238253,0.618,False,https://api.spotify.com/v1/tracks/4svZDCRz4cJoneBpjpx8DJ,4svZDCRz4cJoneBpjpx8DJ,1.97e-05,False,8,0.0756,-6.156,1,I Did Something Bad,73,,2017-11-10,0.147,83.045,4,3,spotify:track:4svZDCRz4cJoneBpjpx8DJ,0.307
18,0.103,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/1R0a2iXumgCiFb7HEZ7gUE,Taylor Swift,"['CA', 'MX', 'US']",0.622,1,236413,236413,0.545,False,https://api.spotify.com/v1/tracks/1R0a2iXumgCiFb7HEZ7gUE,1R0a2iXumgCiFb7HEZ7gUE,2.16e-05,False,9,0.0637,-6.689,0,Don?t Blame Me,72,,2017-11-10,0.0361,135.868,4,4,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,0.213
19,0.228,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf,Taylor Swift,"['CA', 'MX', 'US']",0.745,1,232253,232253,0.41,False,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,6NFyWDv5CjfwuzoCkw47Xf,0.000383,False,9,0.0906,-10.212,0,Delicate,84,,2017-11-10,0.0779,95.022,4,5,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,0.0596
20,0.189,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/1P17dC1amhFzptugyAO7Il,Taylor Swift,"['CA', 'MX', 'US']",0.769,1,211853,211853,0.709,False,https://api.spotify.com/v1/tracks/1P17dC1amhFzptugyAO7Il,1P17dC1amhFzptugyAO7Il,1.72e-05,False,9,0.133,-6.432,0,Look What You Made Me Do,79,,2017-11-10,0.139,128.063,4,6,spotify:track:1P17dC1amhFzptugyAO7Il,0.514
21,0.122,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/5PxFv9yJEg9dxvbZggykro,Taylor Swift,"['CA', 'MX', 'US']",0.559,1,227906,227907,0.61,False,https://api.spotify.com/v1/tracks/5PxFv9yJEg9dxvbZggykro,5PxFv9yJEg9dxvbZggykro,1.87e-06,False,2,0.166,-7.352,1,So It Goes...,68,,2017-11-10,0.0855,150.205,4,7,spotify:track:5PxFv9yJEg9dxvbZggykro,0.398
22,0.0672,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/1ZY1PqizIl78geGM4xWlEA,Taylor Swift,"['CA', 'MX', 'US']",0.797,1,209680,209680,0.532,False,https://api.spotify.com/v1/tracks/1ZY1PqizIl78geGM4xWlEA,1ZY1PqizIl78geGM4xWlEA,1.02e-05,False,7,0.227,-6.861,1,Gorgeous,75,,2017-11-10,0.147,92.024,4,8,spotify:track:1ZY1PqizIl78geGM4xWlEA,0.454
23,0.00476,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/0VE4kBnHJUgtMf0dy6DRmW,Taylor Swift,"['CA', 'MX', 'US']",0.56,1,233626,233627,0.672,False,https://api.spotify.com/v1/tracks/0VE4kBnHJUgtMf0dy6DRmW,0VE4kBnHJUgtMf0dy6DRmW,1.55e-06,False,2,0.0911,-6.662,1,Getaway Car,71,,2017-11-10,0.15,171.986,4,9,spotify:track:0VE4kBnHJUgtMf0dy6DRmW,0.35
24,0.00994,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/7HuBDWi18s4aJM8UFnNheH,Taylor Swift,"['CA', 'MX', 'US']",0.678,1,214320,214320,0.703,False,https://api.spotify.com/v1/tracks/7HuBDWi18s4aJM8UFnNheH,7HuBDWi18s4aJM8UFnNheH,5.97e-06,False,0,0.0455,-7.849,1,King Of My Heart,69,,2017-11-10,0.0378,110.018,4,10,spotify:track:7HuBDWi18s4aJM8UFnNheH,0.298
25,0.0667,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/7I7JbDv63ZJJsSi24DyJrz,Taylor Swift,"['CA', 'MX', 'US']",0.62,1,211506,211507,0.696,False,https://api.spotify.com/v1/tracks/7I7JbDv63ZJJsSi24DyJrz,7I7JbDv63ZJJsSi24DyJrz,9.11e-06,False,0,0.138,-6.523,0,Dancing With Our Hands Tied,69,,2017-11-10,0.22,160.02,4,11,spotify:track:7I7JbDv63ZJJsSi24DyJrz,0.242
26,0.0348,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/6oVxXO5oQ4pTpO8RSnkzvv,Taylor Swift,"['CA', 'MX', 'US']",0.719,1,230373,230373,0.476,False,https://api.spotify.com/v1/tracks/6oVxXO5oQ4pTpO8RSnkzvv,6oVxXO5oQ4pTpO8RSnkzvv,0.0,False,0,0.185,-8.76,1,Dress,69,,2017-11-10,0.0562,119.931,4,12,spotify:track:6oVxXO5oQ4pTpO8RSnkzvv,0.0845
27,0.0141,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/07NxDD1iKCHbAldceD7QLP,Taylor Swift,"['CA', 'MX', 'US']",0.562,1,207133,207133,0.791,False,https://api.spotify.com/v1/tracks/07NxDD1iKCHbAldceD7QLP,07NxDD1iKCHbAldceD7QLP,0.0,False,5,0.382,-5.974,1,This Is Why We Can?t Have Nice Things,70,,2017-11-10,0.118,163.909,4,13,spotify:track:07NxDD1iKCHbAldceD7QLP,0.473
28,0.197,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/1GwMQaZz6Au3QLDbjbMdme,Taylor Swift,"['CA', 'MX', 'US']",0.597,1,203506,203507,0.506,False,https://api.spotify.com/v1/tracks/1GwMQaZz6Au3QLDbjbMdme,1GwMQaZz6Au3QLDbjbMdme,9.82e-05,False,9,0.309,-9.897,1,Call It What You Want,74,,2017-11-10,0.114,163.962,4,14,spotify:track:1GwMQaZz6Au3QLDbjbMdme,0.237
29,0.93,spotify:album:6DEjYFkNZh67HP7R9PSZvv,https://api.spotify.com/v1/audio-analysis/7F5oktn5YOsR9eR5YsFtqb,Taylor Swift,"['CA', 'MX', 'US']",0.606,1,235466,235467,0.152,False,https://api.spotify.com/v1/tracks/7F5oktn5YOsR9eR5YsFtqb,7F5oktn5YOsR9eR5YsFtqb,0.0,False,0,0.13,-12.727,1,New Year?s Day,69,,2017-11-10,0.0361,94.692,4,15,spotify:track:7F5oktn5YOsR9eR5YsFtqb,0.235
30,0.0531,spotify:album:0bEySlRAkuPxV9KVWhXXBr,https://api.spotify.com/v1/audio-analysis/64FIHbthA4RhBv6fL6DGBO,Taylor Swift,['MX'],0.818,1,209388,209389,0.621,False,https://api.spotify.com/v1/tracks/64FIHbthA4RhBv6fL6DGBO,64FIHbthA4RhBv6fL6DGBO,0.261,False,7,0.347,-6.231,1,Welcome To New York - Karaoke Version,11,,2015-02-01,0.0434,117.018,4,1,spotify:track:64FIHbthA4RhBv6fL6DGBO,0.454
31,0.0409,spotify:album:0bEySlRAkuPxV9KVWhXXBr,https://api.spotify.com/v1/audio-analysis/6N6V2v89hS4N9ossON5f9R,Taylor Swift,['MX'],0.732,1,228598,228598,0.688,False,https://api.spotify.com/v1/tracks/6N6V2v89hS4N9ossON5f9R,6N6V2v89hS4N9ossON5f9R,0.00449,False,5,0.111,-5.015,1,Blank Space - Karaoke Version,15,,2015-02-01,0.0414,95.989,4,2,spotify:track:6N6V2v89hS4N9ossON5f9R,0.576
32,0.0007,spotify:album:0bEySlRAkuPxV9KVWhXXBr,https://api.spotify.com/v1/audio-analysis/1Qicm51crXMvUuH4SMjobT,Taylor Swift,['MX'],0.563,1,230303,230303,0.847,False,https://api.spotify.com/v1/tracks/1Qicm51crXMvUuH4SMjobT,1Qicm51crXMvUuH4SMjobT,0.882,False,7,0.103,-6.036,1,Style - Karaoke Version,12,,2015-02-01,0.0317,94.951,4,3,spotify:track:1Qicm51crXMvUuH4SMjobT,0.452
33,3.31e-05,spotify:album:0bEySlRAkuPxV9KVWhXXBr,https://api.spotify.com/v1/audio-analysis/4WrJR6LJ8MtIxouKHUkTEM,Taylor Swift,['MX'],0.492,1,233608,233608,0.916,False,https://api.spotify.com/v1/tracks/4WrJR6LJ8MtIxouKHUkTEM,4WrJR6LJ8MtIxouKHUkTEM,0.814,False,7,0.47,-6.509,1,Out Of The Woods - Karaoke Version,10,,2015-02-01,0.0346,92.01,4,4,spotify:track:4WrJR6LJ8MtIxouKHUkTEM,0.0702
34,0.000178,spotify:album:0bEySlRAkuPxV9KVWhXXBr,https://api.spotify.com/v1/audio-analysis/4vWXPp6Tuf6ury2dCh0uAI,Taylor Swift,['MX'],0.633,1,191582,191583,0.717,False,https://api.spotify.com/v1/tracks/4vWXPp6Tuf6ury2dCh0uAI,4vWXPp6Tuf6ury2dCh0uAI,0.0294,False,5,0.207,-6.353,1,All You Had To Do Was Stay - Karaoke Version,8,,2015-02-01,0.0348,96.999,4,5,spotify:track:4vWXPp6Tuf6ury2dCh0uAI,0.599
